,,prediction,,,,,,,,
,,1.00E+00,2.00E+00,3.00E+00,4.00E+00,5.00E+00,6.00E+00,,,
actual,1.00E+00,3.23E+04,9.52E+03,9.32E+03,3.21E+02,2.35E+02,0.00E+00,6.25E-01,,
,2.00E+00,8.93E+03,2.89E+04,7.97E+03,1.63E+02,3.88E+02,0.00E+00,6.24E-01,,
,3.00E+00,3.86E+03,5.53E+03,3.27E+04,7.80E+01,2.80E+01,0.00E+00,7.75E-01,,
,4.00E+00,8.00E+00,2.50E+01,1.10E+01,4.29E+04,9.26E+03,1.13E+03,8.04E-01,,3.09E+05
,5.00E+00,1.00E+01,1.30E+01,8.00E+00,1.43E+04,4.29E+04,0.00E+00,7.50E-01,,
,6.00E+00,3.00E+00,4.00E+00,1.50E+01,1.36E+03,8.00E+02,5.61E+04,9.63E-01,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,4.64E+04,,,,,,,,
,,3.65E-01,,,,,3.64E-01,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,2.50E-01,,,,
,,,,,,,,,,
,,,5.83E-01,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
v2,without the subject 1 to 1s,,,,,,,,,
,,prediction,,,,,,,,
,,1.00E+00,2.00E+00,3.00E+00,4.00E+00,5.00E+00,6.00E+00,,,
actual,1.00E+00,3.06E+04,9.60E+03,8.91E+03,3.71E+02,4.29E+02,0.00E+00,6.13E-01,,
,2.00E+00,8.74E+03,2.76E+04,7.76E+03,1.62E+02,5.10E+02,0.00E+00,6.17E-01,,
,3.00E+00,3.80E+03,5.80E+03,3.10E+04,1.30E+02,4.40E+01,0.00E+00,7.60E-01,,
,4.00E+00,9.00E+00,2.80E+01,1.10E+01,4.10E+04,9.40E+03,1.13E+03,7.95E-01,,
,5.00E+00,9.00E+00,1.70E+01,9.00E+00,1.45E+04,4.07E+04,0.00E+00,7.36E-01,,
,6.00E+00,2.00E+00,9.00E+00,1.20E+01,1.11E+03,9.36E+02,5.43E+04,9.63E-01,,
