,,prediction,,,,,
,,1.00E+00,2.00E+00,3.00E+00,4.00E+00,5.00E+00,6.00E+00
test,1.00E+00,0.00E+00,9.68E+03,9.00E+03,3.38E+02,3.42E+02,0.00E+00
,2.00E+00,8.93E+03,0.00E+00,7.85E+03,1.63E+02,4.29E+02,0.00E+00
,3.00E+00,3.87E+03,5.62E+03,0.00E+00,9.20E+01,3.10E+01,0.00E+00
,4.00E+00,1.00E+01,2.50E+01,1.60E+01,0.00E+00,9.48E+03,1.13E+03
,5.00E+00,1.40E+01,1.20E+01,1.40E+01,1.47E+04,0.00E+00,0.00E+00
,6.00E+00,0.00E+00,4.00E+00,8.00E+00,8.93E+02,8.60E+02,0.00E+00
,,,,,,,
,,,,,,,
,,,,,,,
,9.68E+03,1 predicted as 2,,,SUM:,7.35E+04,
,9.00E+03,1 predicted as 3,,,,,
,8.93E+03,2 predicted as 1,,,,,
,7.85E+03,2 predicted as 3,,,,,
,3.87E+03,3 predicted as 1,,,,,
,9.48E+03,4 predicted as 5,,5.44E+04,,,
,5.62E+03,3 predicted as 2,,,,,
